"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2020","11,527.0","12,192.0","12,281.0","11,527.0","644.59K","-6.14%"
"07/23/2020","12,281.0","12,414.0","12,414.0","12,148.0","102.97K","-1.07%"
"07/22/2020","12,414.0","12,636.0","12,636.0","12,325.0","149.37K","-1.06%"
"07/21/2020","12,547.0","12,680.0","12,724.0","12,370.0","425.91K","1.07%"
"07/20/2020","12,414.0","12,414.0","12,769.0","12,370.0","497.68K","1.08%"
"07/17/2020","12,281.0","12,148.0","12,325.0","12,148.0","255.15K","0.36%"
"07/16/2020","12,237.0","12,281.0","12,325.0","12,104.0","83.49K","-0.36%"
"07/15/2020","12,281.0","12,414.0","12,414.0","12,237.0","138.06K","-1.07%"
"07/14/2020","12,414.0","12,281.0","12,414.0","12,192.0","152.29K","1.08%"
"07/13/2020","12,281.0","12,325.0","12,458.0","12,237.0","379.36K","0.00%"
"07/10/2020","12,281.0","12,325.0","12,414.0","12,237.0","200.99K","0.00%"
"07/09/2020","12,281.0","12,237.0","12,414.0","12,148.0","93.72K","0.36%"
"07/08/2020","12,237.0","12,325.0","12,370.0","12,059.0","46.90K","-0.36%"
"07/07/2020","12,281.0","12,104.0","12,503.0","12,059.0","184.13K","1.46%"
"07/06/2020","12,104.0","12,148.0","12,192.0","11,971.0","46.41K","0.74%"
"07/03/2020","12,015.0","11,971.0","12,059.0","11,882.0","50.24K","0.37%"
"07/02/2020","11,971.0","12,015.0","12,059.0","11,971.0","55.77K","-0.37%"
"07/01/2020","12,015.0","11,793.0","12,059.0","11,793.0","74.24K","1.12%"
"06/30/2020","11,882.0","11,926.0","12,059.0","11,705.0","47.78K","0.00%"
"06/29/2020","11,882.0","12,015.0","12,015.0","11,705.0","206.59K","-13.27%"
"06/26/2020","13,700.0","13,600.0","13,800.0","13,600.0","69.78K","0.74%"
"06/25/2020","13,600.0","13,900.0","13,900.0","13,600.0","379.82K","-2.16%"
"06/24/2020","13,900.0","13,900.0","14,100.0","13,750.0","81.00K","0.00%"
"06/23/2020","13,900.0","13,800.0","14,200.0","13,800.0","271.49K","0.72%"
"06/22/2020","13,800.0","13,950.0","13,950.0","13,750.0","162.16K","0.73%"
"06/19/2020","13,700.0","13,500.0","13,900.0","13,500.0","190.33K","0.74%"
"06/18/2020","13,600.0","13,800.0","13,800.0","13,500.0","75.78K","0.00%"
"06/17/2020","13,600.0","13,900.0","13,900.0","13,600.0","89.73K","-1.45%"
"06/16/2020","13,800.0","13,700.0","13,950.0","13,600.0","157.15K","0.73%"
"06/15/2020","13,700.0","14,400.0","14,400.0","13,400.0","370.05K","0.00%"
"06/12/2020","13,700.0","13,600.0","14,000.0","13,400.0","327.50K","-2.84%"
"06/11/2020","14,100.0","14,850.0","14,900.0","14,100.0","368.49K","-5.05%"
"06/10/2020","14,850.0","14,600.0","14,850.0","14,500.0","354.86K","0.34%"
"06/09/2020","14,800.0","14,800.0","14,800.0","14,600.0","316.27K","0.00%"
"06/08/2020","14,800.0","14,650.0","15,000.0","14,650.0","479.57K","1.02%"
"06/05/2020","14,650.0","14,600.0","14,650.0","14,000.0","398.28K","0.34%"
"06/04/2020","14,600.0","15,000.0","15,150.0","14,600.0","361.78K","-2.01%"
"06/03/2020","14,900.0","14,650.0","15,000.0","14,600.0","317.12K","2.41%"
"06/02/2020","14,550.0","14,750.0","15,200.0","14,550.0","343.40K","-1.36%"
"06/01/2020","14,750.0","14,550.0","14,850.0","14,550.0","324.39K","0.00%"
"05/29/2020","14,750.0","14,200.0","14,800.0","14,050.0","307.76K","3.15%"
"05/28/2020","14,300.0","14,300.0","14,700.0","14,250.0","183.31K","-2.72%"
"05/27/2020","14,700.0","15,000.0","15,000.0","14,550.0","675.96K","0.00%"
"05/26/2020","14,700.0","13,900.0","14,700.0","13,900.0","844.00K","6.91%"
"05/25/2020","13,750.0","13,650.0","13,850.0","13,500.0","177.41K","1.10%"
"05/22/2020","13,600.0","13,600.0","13,900.0","13,500.0","367.49K","0.00%"
"05/21/2020","13,600.0","13,700.0","13,700.0","13,550.0","274.25K","-0.73%"
"05/20/2020","13,700.0","13,700.0","13,700.0","13,500.0","152.87K","0.00%"
"05/19/2020","13,700.0","13,950.0","13,950.0","13,600.0","261.81K","0.74%"
"05/18/2020","13,600.0","13,900.0","13,950.0","13,500.0","266.22K","-1.45%"
"05/15/2020","13,800.0","13,850.0","14,150.0","13,550.0","198.82K","-2.13%"
"05/14/2020","14,100.0","14,100.0","14,450.0","13,900.0","343.64K","0.00%"
"05/13/2020","14,100.0","13,500.0","14,100.0","13,450.0","413.04K","4.44%"
"05/12/2020","13,500.0","13,600.0","13,600.0","13,300.0","348.70K","-0.37%"
"05/11/2020","13,550.0","13,800.0","13,800.0","13,450.0","253.12K","-1.81%"
"05/08/2020","13,800.0","14,000.0","14,300.0","13,650.0","195.39K","0.00%"
"05/07/2020","13,800.0","13,300.0","14,000.0","13,000.0","559.69K","3.37%"
"05/06/2020","13,350.0","12,900.0","13,350.0","12,500.0","206.31K","3.49%"
"05/05/2020","12,900.0","12,800.0","13,000.0","12,800.0","66.91K","0.00%"
"05/04/2020","12,900.0","12,700.0","13,000.0","12,700.0","69.63K","0.00%"
"04/29/2020","12,900.0","13,100.0","13,100.0","12,850.0","37.79K","0.00%"
"04/28/2020","12,900.0","12,950.0","13,100.0","12,800.0","57.14K","-1.53%"
"04/27/2020","13,100.0","13,300.0","13,300.0","13,000.0","67.96K","-1.13%"
